source_index,title,artist_credit,primary_artist,release_groups,isrcs,cover_art_status,apple_music_search,spotify_search,youtube_music_search,musicbrainz_release_group_search,verified_cover_page_urls
21,Cheat Code Mode,"Young Thug, Nieman J, Eric Bellinger & Joe Moses",Young Thug,Cheat Code Mode,USUYG1300854,needs_api_verification,https://music.apple.com/us/search?term=Cheat+Code+Mode+Young+Thug%2C+Nieman+J%2C+Eric+Bellinger+%26+Joe+Moses,https://open.spotify.com/search/Cheat%20Code%20Mode%20Young%20Thug%2C%20Nieman%20J%2C%20Eric%20Bellinger%20%26%20Joe%20Moses,https://music.youtube.com/search?q=Cheat+Code+Mode+Young+Thug%2C+Nieman+J%2C+Eric+Bellinger+%26+Joe+Moses,https://musicbrainz.org/search?query=Cheat+Code+Mode&type=release_group&method=indexed,[]
22,Circles,"The Game feat. Q-Tip, Eric Bellinger & Sha Sha",The Game,The Documentary 2 | The Documentary 2 + 2.5,,needs_api_verification,https://music.apple.com/us/search?term=Circles+The+Game+feat.+Q-Tip%2C+Eric+Bellinger+%26+Sha+Sha,https://open.spotify.com/search/Circles%20The%20Game%20feat.%20Q-Tip%2C%20Eric%20Bellinger%20%26%20Sha%20Sha,https://music.youtube.com/search?q=Circles+The+Game+feat.+Q-Tip%2C+Eric+Bellinger+%26+Sha+Sha,https://musicbrainz.org/search?query=The+Documentary+2&type=release_group&method=indexed,[]
23,Connected,Chip feat. Eric Bellinger,Chip,Believe & Achieve: Episode 2,,needs_api_verification,https://music.apple.com/us/search?term=Connected+Chip+feat.+Eric+Bellinger,https://open.spotify.com/search/Connected%20Chip%20feat.%20Eric%20Bellinger,https://music.youtube.com/search?q=Connected+Chip+feat.+Eric+Bellinger,https://musicbrainz.org/search?query=Believe+%26+Achieve%3A+Episode+2&type=release_group&method=indexed,[]
24,Consistency,Trevor Jackson & Eric Bellinger,Trevor Jackson,It’s Complicated,QZNMT2451592,needs_api_verification,https://music.apple.com/us/search?term=Consistency+Trevor+Jackson+%26+Eric+Bellinger,https://open.spotify.com/search/Consistency%20Trevor%20Jackson%20%26%20Eric%20Bellinger,https://music.youtube.com/search?q=Consistency+Trevor+Jackson+%26+Eric+Bellinger,https://musicbrainz.org/search?query=It%E2%80%99s+Complicated&type=release_group&method=indexed,[]
25,Couch Standing,Nieman J & Eric Bellinger feat. Jeremih & Wale,Nieman J,Optimal Music,USUYG1306139,needs_api_verification,https://music.apple.com/us/search?term=Couch+Standing+Nieman+J+%26+Eric+Bellinger+feat.+Jeremih+%26+Wale,https://open.spotify.com/search/Couch%20Standing%20Nieman%20J%20%26%20Eric%20Bellinger%20feat.%20Jeremih%20%26%20Wale,https://music.youtube.com/search?q=Couch+Standing+Nieman+J+%26+Eric+Bellinger+feat.+Jeremih+%26+Wale,https://musicbrainz.org/search?query=Optimal+Music&type=release_group&method=indexed,[]
26,Dat Ass,Jacob Latimore feat. Eric Bellinger,Jacob Latimore,Leo Season,,needs_api_verification,https://music.apple.com/us/search?term=Dat+Ass+Jacob+Latimore+feat.+Eric+Bellinger,https://open.spotify.com/search/Dat%20Ass%20Jacob%20Latimore%20feat.%20Eric%20Bellinger,https://music.youtube.com/search?q=Dat+Ass+Jacob+Latimore+feat.+Eric+Bellinger,https://musicbrainz.org/search?query=Leo+Season&type=release_group&method=indexed,[]
27,Death Penalty,"The Game feat. Fabolous, Eric Bellinger & Slim Thug",The Game,California Republic,,needs_api_verification,https://music.apple.com/us/search?term=Death+Penalty+The+Game+feat.+Fabolous%2C+Eric+Bellinger+%26+Slim+Thug,https://open.spotify.com/search/Death%20Penalty%20The%20Game%20feat.%20Fabolous%2C%20Eric%20Bellinger%20%26%20Slim%20Thug,https://music.youtube.com/search?q=Death+Penalty+The+Game+feat.+Fabolous%2C+Eric+Bellinger+%26+Slim+Thug,https://musicbrainz.org/search?query=California+Republic&type=release_group&method=indexed,[]
28,Do Ya,"Da Boy Dame feat. Ty Dolla $ign, Adrian Marcel & Eric Bellinger",Da Boy Dame,Hot This Week 2,,needs_api_verification,https://music.apple.com/us/search?term=Do+Ya+Da+Boy+Dame+feat.+Ty+Dolla+%24ign%2C+Adrian+Marcel+%26+Eric+Bellinger,https://open.spotify.com/search/Do%20Ya%20Da%20Boy%20Dame%20feat.%20Ty%20Dolla%20%24ign%2C%20Adrian%20Marcel%20%26%20Eric%20Bellinger,https://music.youtube.com/search?q=Do+Ya+Da+Boy+Dame+feat.+Ty+Dolla+%24ign%2C+Adrian+Marcel+%26+Eric+Bellinger,https://musicbrainz.org/search?query=Hot+This+Week+2&type=release_group&method=indexed,[]
29,Drop It,Blaq Tuxedo feat. Eric Bellinger,Blaq Tuxedo,Blaq Tuxedo,GBKPL1958459,needs_api_verification,https://music.apple.com/us/search?term=Drop+It+Blaq+Tuxedo+feat.+Eric+Bellinger,https://open.spotify.com/search/Drop%20It%20Blaq%20Tuxedo%20feat.%20Eric%20Bellinger,https://music.youtube.com/search?q=Drop+It+Blaq+Tuxedo+feat.+Eric+Bellinger,https://musicbrainz.org/search?query=Blaq+Tuxedo&type=release_group&method=indexed,[]
30,Energy,Vedo feat. Eric Bellinger,Vedo,1320,,needs_api_verification,https://music.apple.com/us/search?term=Energy+Vedo+feat.+Eric+Bellinger,https://open.spotify.com/search/Energy%20Vedo%20feat.%20Eric%20Bellinger,https://music.youtube.com/search?q=Energy+Vedo+feat.+Eric+Bellinger,https://musicbrainz.org/search?query=1320&type=release_group&method=indexed,[]
